I0,I1
2700.00,101.60
3292.50,101.60
3878.20,101.50
4455.40,101.20
5022.60,100.70
5578.10,100.20
6120.40,99.50
6647.80,98.60
7158.80,97.60
7651.80,96.50
8125.40,95.20
8578.00,93.90
9008.10,92.60
9414.40,91.30
9795.50,89.80
10150.10,87.90
10477.00,85.90
10774.80,83.90
11042.60,81.80
11279.30,79.70
11483.90,77.40
11655.50,75.20
11793.20,72.90
11896.50,70.50
11964.60,68.20
11997.10,65.80
11993.50,63.30
11953.50,60.80
11876.90,58.30
11763.60,55.80
11613.60,53.30
11427.10,50.80
11204.30,48.30
10945.70,45.80
10651.60,43.30
10322.70,40.80
9959.80,38.30
9563.80,35.80
9135.50,33.30
8676.20,30.80
8187.10,28.30
7669.50,25.90
7124.90,23.40
6554.90,21.00
5961.20,18.60
5345.50,16.30
4709.80,14.40
4056.10,12.90
3386.50,11.50
2703.20,10.20
2008.40,8.90
1304.50,7.60
593.90,6.30
-121.00,5.00
-837.50,3.90
-1553.20,3.20
-2265.50,3.00
-2971.60,3.10
-3669.00,3.20
-4355.00,3.40
-5027.00,3.70
-5682.30,4.30
-6318.30,5.00
-6932.40,5.80
-7522.20,5.80
-8085.00,6.80
-8618.50,8.10
-9120.50,9.40
-9588.50,11.00
-10020.60,12.60
-10414.60,14.30
-10768.70,16.20
-11081.00,18.20
-11350.10,20.30
-11574.30,22.40
-11752.30,24.60
-11883.10,26.80
-11965.70,29.00
-11999.20,31.30
-11983.20,33.60
-11917.10,36.00
-11800.90,38.40
-11634.60,40.90
-11418.40,43.30
-11152.90,45.80
-10838.60,48.20
-10476.60,50.60
-10068.00,53.10
-9614.20,55.50
-9116.70,57.90
-8577.40,60.30
-7998.30,62.60
-7381.70,64.90
-6729.90,67.00
-6045.80,68.60
-5332.00,69.90
-4591.60,71.30
-3827.80,72.80
-3044.00,74.70
-2243.60,76.60
-1430.20,78.30
-607.70,79.80
220.20,80.90
1049.50,81.80
1876.30,82.50
2696.40,83.00
3505.90,83.20
4300.60,83.10
5076.50,82.90
5829.60,82.60
6555.80,82.00
7251.30,81.20
7912.40,80.20
8535.20,79.00
9116.30,77.70
9652.30,76.10
10139.90,74.40
10576.40,72.60
10958.80,70.70
11284.60,68.60
11551.70,66.50
11758.10,64.40
11902.00,62.20
11982.30,59.90
11997.80,57.60
11947.80,55.50
11832.20,53.60
11650.90,52.40
11404.30,51.60
11093.20,50.50
10718.90,48.70
10282.80,46.40
9786.90,44.10
9233.50,41.90
8625.30,40.30
7965.30,39.00
7256.90,37.80
6503.80,36.00
5710.20,33.80
4880.20,31.70
4018.70,29.70
3130.40,27.90
2220.60,26.20
1294.60,24.70
357.90,23.20
-583.90,21.90
-1524.80,21.90
-2459.10,20.90
-3380.70,20.40
-4283.90,20.30
-5162.50,20.20
-6010.90,20.30
-6823.30,20.60
-7594.10,21.30
-8318.00,22.10
-8989.60,23.20
-9604.30,24.50
-10157.30,25.90
-10644.40,27.50
-11061.80,29.20
-11406.00,31.00
-11674.10,33.00
-11863.50,35.00
-11972.20,37.20
-11998.70,39.30
-11942.10,41.50
-11802.00,43.70
-11578.70,45.90
-11273.10,48.20
-10886.40,50.60
-10420.90,52.90
-9879.00,55.20
-9264.20,57.50
-8580.10,59.90
-7831.20,62.20
-7022.40,64.60
-6159.20,66.90
-5247.50,69.10
-4293.80,71.40
-3304.90,73.60
-2287.90,75.80
-1250.40,77.90
-200.30,79.80
854.60,81.30
1906.00,82.40
2945.60,83.20
3965.20,83.80
4956.40,83.90
5911.20,83.70
6821.60,83.20
7679.70,82.60
8478.20,81.60
9210.00,80.50
9868.50,79.10
10447.60,77.60
10941.80,75.90
11346.00,74.00
11656.30,72.00
11869.00,70.00
11981.40,67.90
11991.80,65.70
11899.10,63.50
11703.20,61.30
11404.80,59.10
11005.60,57.00
10508.30,55.10
9916.50,53.30
9234.40,51.60
8467.50,49.70
7621.90,47.50
6704.60,45.10
5723.30,42.80
4686.50,40.60
3603.40,39.00
2483.40,37.80
1336.90,36.60
174.40,35.40
-993.20,34.10
-2154.90,32.90
-3299.40,31.80
-4415.50,31.40
-5492.20,31.50
-6518.50,31.90
-7483.90,32.30
-8378.40,33.20
-9192.30,34.40
-9916.90,35.70
-10544.00,35.70
-11066.30,37.10
-11477.70,38.60
-11772.90,40.30
-11947.80,42.10
-11999.60,44.10
-11926.50,46.10
-11728.20,48.20
-11405.60,50.40
-10961.20,52.60
-10398.50,54.80
-9722.50,56.90
-8939.50,59.20
-8057.10,61.50
-7084.00,63.80
-6030.10,66.10
-4906.40,68.30
-3724.70,70.60
-2497.80,72.80
-1239.20,74.90
37.30,77.00
1317.10,79.00
2585.70,80.70
3828.30,81.80
5030.10,82.40
6176.90,82.60
7254.50,82.60
8249.70,82.10
9149.90,81.30
9943.30,80.30
10619.60,79.00
11169.40,77.60
11584.90,76.00
11859.80,74.20
11989.50,72.20
11971.00,70.30
11803.20,68.20
11486.90,66.10
11024.80,63.90
10421.40,61.70
9683.10,59.50
8818.20,57.20
7836.90,54.90
6750.70,52.50
5573.00,50.10
4318.50,47.80
3003.10,45.40
1643.80,43.10
258.40,40.80
-1134.60,38.80
-2516.50,37.60
-3868.00,36.90
-5170.70,36.40
-6405.80,36.20
-7555.70,36.50
-8603.40,37.10
-9533.50,37.90
-10331.50,38.90
-10985.10,39.80
-11483.50,40.60
-11818.10,41.40
-11982.60,42.40
-11973.10,43.80
-11788.20,45.70
-11428.90,47.70
-10899.10,49.60
-10205.20,51.50
-9356.10,53.60
-8363.20,55.80
-7240.30,57.90
-6003.40,60.00
-4670.60,62.10
-3261.60,64.30
-1797.70,66.40
-301.20,68.40
1204.40,70.30
2695.50,72.00
4148.10,73.10
5538.50,73.50
6843.80,73.50
8041.90,73.20
9112.50,73.20
10036.60,72.60
10797.80,71.50
11381.80,70.30
11777.40,68.80
11976.10,67.20
11972.90,65.50
11766.00,63.60
11357.00,61.70
10751.30,59.70
9957.50,57.70
8987.80,55.60
7857.60,53.60
6585.50,51.80
5192.80,50.00
3703.20,48.20
2142.60,46.30
538.70,44.20
-1079.70,42.10
-2683.30,40.40
-4242.20,39.40
-5727.40,39.00
-7110.30,38.80
-8364.30,38.80
-9464.40,39.20
-10388.50,40.00
-11117.30,41.10
-11635.10,42.40
-11929.90,43.70
-11994.10,45.30
-11824.30,47.20
-11421.70,49.10
-10792.20,51.10
-9946.40,53.00
-8899.10,55.00
-7669.60,57.10
-6281.30,59.10
-4760.90,61.20
-3138.60,63.40
-1446.70,65.50
280.20,67.60
2006.50,69.60
3695.80,71.50
5312.10,72.90
6820.50,73.40
8187.60,73.20
9383.00,72.80
10379.00,72.10
11152.40,70.90
11684.10,69.50
11960.30,67.90
11972.50,66.40
11718.20,64.70
11200.50,63.10
10428.90,61.50
9418.50,59.90
8190.20,58.20
6770.40,56.10
5190.00,53.90
3484.50,51.70
1692.40,49.70
-144.70,48.10
-1984.00,46.60
-3781.50,45.30
-5493.90,44.30
-7079.10,43.90
-8497.60,44.10
-9713.40,44.60
-10694.70,45.40
-11415.20,46.50
-11854.80,47.90
-12000.00,49.40
-11844.30,51.00
-11389.10,52.70
-10643.30,54.30
-9623.30,56.20
-8352.90,58.00
-6862.60,59.90
-5189.40,61.90
-3375.30,63.90
-1467.10,65.90
485.70,67.90
2431.40,67.90
4317.70,69.90
6093.10,71.60
7708.60,72.60
9118.40,72.70
10282.20,72.30
11165.40,71.70
11741.00,70.70
11990.10,69.40
11902.80,68.10
11478.60,66.80
10726.40,65.50
9664.90,64.00
8322.00,62.10
6733.90,60.20
4944.90,58.30
3005.60,56.50
971.90,54.80
-1096.80,53.10
-3138.80,51.50
-5092.70,49.80
-6898.40,48.20
-8500.00,47.00
-9846.30,47.00
-10893.90,47.60
-11607.50,48.50
-11961.90,49.50
-11942.90,50.60
-11547.50,52.00
-10785.10,53.60
-9676.50,55.30
-8254.40,57.00
-6561.70,58.90
-4651.00,61.00
-2582.90,63.00
-423.70,64.90
1755.80,66.90
3883.50,68.70
5887.60,70.50
7699.60,72.00
9256.40,72.40
10502.70,72.00
11393.00,71.30
11893.40,70.70
11983.00,69.90
11655.10,68.70
10917.40,67.10
9792.30,65.50
8316.30,63.90
6538.80,62.20
4521.20,60.40
2334.20,58.90
55.90,57.60
-2231.30,56.40
-4443.10,55.20
-6497.00,54.00
-8315.10,52.80
-9827.00,52.20
-10973.20,52.60
-11706.70,53.70
-11996.00,54.90
-11825.90,56.00
-11198.90,57.20
-10135.30,58.80
-8672.60,60.70
-6864.80,62.70
-4780.30,64.50
-2499.60,66.30
-112.10,68.30
2286.90,70.30
4600.50,72.10
6733.50,73.70
8597.00,74.20
10111.70,73.80
11211.70,73.00
11847.20,72.20
11987.50,71.00
11622.30,69.40
10762.40,67.80
9440.20,66.20
7708.50,64.50
5638.40,64.50
3317.00,62.60
843.50,60.60
-1674.30,58.70
-4125.50,56.90
-6400.10,55.20
-8394.80,54.00
-10016.80,53.50
-11189.60,53.70
-11855.20,54.40
-11978.90,55.30
-11549.90,56.50
-10583.20,58.00
-9119.30,59.50
-7222.40,61.10
-4978.60,62.80
-2491.20,64.50
122.70,66.30
2738.40,68.10
5229.20,69.90
7472.70,71.60
9356.60,73.10
10784.80,73.80
11682.30,73.40
11999.70,72.60
11715.80,71.60
10839.60,70.40
9410.30,68.90
7495.90,67.20
5190.60,65.50
2610.20,63.60
-113.70,61.60
-2839.60,59.80
-5424.10,58.20
-7728.90,56.70
-9628.90,55.30
-11018.40,54.50
-11818.00,54.80
-11979.00,55.80
-11486.90,57.10
-10363.00,58.40
-8663.50,59.80
-6477.90,61.50
-3923.80,63.50
-1141.80,65.40
1713.10,67.20
4479.00,68.90
6996.60,70.50
9118.90,72.00
10719.30,73.10
11700.00,73.20
11997.90,72.40
11589.30,71.20
10492.20,69.90
8765.90,68.60
6508.40,67.10
3851.20,65.20
952.40,63.20
-2013.20,61.30
-4863.70,59.40
-7421.90,57.70
-9525.80,56.30
-11039.90,55.70
-11863.50,56.10
-11938.20,57.20
-11252.60,58.40
-9843.80,59.70
-7796.40,61.10
-5237.20,62.70
-2328.80,64.50
740.90,66.40
3770.80,68.20
6558.90,69.80
8917.20,71.30
10682.90,72.00
11731.50,71.60
11985.10,70.70
11419.40,69.70
10066.00,68.60
8011.60,67.40
5393.10,66.20
2388.90,66.20
-792.30,65.10
-3926.90,64.00
-6790.30,62.70
-9174.90,61.30
-10904.10,59.80
-11846.40,59.00
-11926.00,59.30
-11129.20,60.30
-9507.40,61.60
-7173.60,62.80
-4296.20,64.10
-1087.20,65.60
2213.70,67.40
5355.40,69.40
8096.20,71.40
10220.70,73.00
11559.00,73.60
11999.60,73.20
11499.80,72.40
10090.80,71.50
7876.30,70.40
5026.30,68.90
1763.90,67.20
-1650.40,65.40
-4940.70,63.60
-7836.20,61.80
-10095.40,60.10
-11525.30,58.90
-11999.70,58.80
-11470.00,59.50
-9972.20,60.20
-7624.60,60.80
-4619.70,61.20
-1209.90,61.50
2314.40,62.00
5648.00,63.00
8497.90,64.50
10609.60,65.90
11789.60,66.60
11924.80,66.20
10993.90,65.30
9071.00,64.40
6321.60,63.40
2988.50,62.00
-627.90,60.30
-4197.20,58.50
-7387.60,56.80
-9898.50,55.10
-11488.20,53.80
-11998.60,53.30
-11371.50,54.00
-9656.70,55.20
-7009.50,56.50
-3677.10,57.70
22.20,59.00
3730.30,60.50
7081.90,62.30
9742.70,64.10
11441.40,65.30
11999.20,65.30
11349.90,64.40
9548.70,63.50
6768.80,62.50
3287.00,61.30
-544.20,59.60
-4329.90,57.70
-7674.60,55.90
-10223.10,54.10
-11699.00,53.10
-11936.10,53.30
-10897.90,54.20
-8684.90,55.30
-5525.90,56.40
-1756.70,57.60
2216.00,59.30
5955.90,61.20
9047.00,62.90
11138.80,64.00
11988.10,64.00
11488.10,63.30
9683.50,62.40
6768.80,62.40
3068.60,61.30
-996.70,59.90
-4957.60,58.30
-8350.90,56.60
-10772.30,54.90
-11926.90,53.40
-11666.20,52.70
-10008.80,53.10
-7141.90,54.20
-3402.30,55.40
762.80,56.60
4846.40,57.80
8344.30,59.00
10817.50,60.30
11948.90,61.60
11584.20,62.30
9756.40,61.90
6684.90,60.90
2750.50,59.90
-1548.50,58.80
-5659.70,57.70
-9046.60,56.10
-11260.40,54.40
-11999.10,53.20
-11151.90,53.30
-8817.60,54.40
-5296.10,55.70
-1050.80,57.00
3349.10,58.20
7305.00,59.70
10270.30,61.40
11827.60,63.00
11748.10,63.70
10028.40,63.20
6896.00,62.30
2780.30,61.30
-1742.10,60.30
-6028.50,59.10
-9460.10,57.40
-11533.50,55.70
-11934.70,54.30
-10590.40,54.10
-7683.40,55.00
-3629.90,56.10
975.80,57.20
5448.50,58.30
9112.20,59.30
11404.90,60.60
11964.30,61.70
10689.40,62.00
7760.80,61.10
3619.30,59.80
-1099.70,58.50
-5659.30,57.30
-9337.30,56.20
-11541.10,55.00
-11905.60,54.00
-10355.80,53.50
-7125.60,54.10
-2726.70,55.50
2131.60,57.00
6652.40,58.50
10083.80,59.80
11843.90,60.90
11623.30,61.40
9441.60,60.90
5651.80,59.80
887.20,58.70
-4043.60,57.30
-8290.00,55.70
-11108.20,54.10
-11993.30,53.00
-10772.70,53.00
-7643.90,54.00
-3146.60,55.20
1926.40,56.40
6666.50,57.60
10213.50,58.70
11910.40,59.70
11430.10,60.40
8842.50,60.40
4608.30,60.30
-497.00,59.30
-5523.50,58.00
-9521.60,56.60
-11724.30,55.30
-11694.70,54.00
-9419.20,52.90
-5318.20,52.80
-171.90,53.70
5022.30,55.10
9243.60,56.50
11648.30,57.80
11742.60,59.00
9487.10,59.70
5315.50,59.40
55.80,58.30
-5229.40,57.20
-9458.40,56.20
-11749.80,55.10
-11611.50,54.10
-9051.60,53.20
-4585.70,53.10
860.40,53.90
6138.90,55.00
10121.10,56.20
11941.10,57.40
11186.40,58.40
7998.60,59.00
3054.00,58.50
-2576.20,57.20
-7652.20,56.00
-11039.80,54.80
-11966.10,53.60
-10201.50,52.50
-6121.90,52.10
-636.70,52.70
5009.10,53.90
9516.60,55.20
11830.30,56.50
11391.80,57.70
8279.90,58.60
3206.30,58.30
-2642.50,57.20
-7876.60,56.00
-11233.70,54.80
-11886.60,53.60
-9653.40,52.60
-5054.70,52.40
799.10,53.20
6471.00,54.50
10549.40,55.80
11999.50,57.00
10433.70,58.20
6222.70,58.60
415.50,57.80
-5514.10,56.70
-10039.20,55.60
-11974.90,54.60
-10794.70,53.90
-6780.70,53.70
-967.50,54.50
5117.80,55.80
9854.50,57.20
11958.90,58.50
10840.20,59.80
6774.50,60.70
847.70,60.50
-5328.60,59.40
-10048.90,58.30
-11988.20,57.20
-10580.70,56.20
-6193.30,55.70
-41.70,56.10
6138.40,57.10
10577.70,58.10
11983.90,59.00
9923.00,59.80
4965.90,59.90
-1459.10,58.90
-7471.90,57.40
-11285.70,57.40
-11744.40,56.00
-8682.00,54.70
-2991.90,53.60
3621.40,53.30
9147.00,53.90
11879.00,55.00
10950.10,56.10
6617.20,57.00
205.30,57.30
-6288.30,56.60
-10811.10,55.50
-11909.10,54.40
-9201.20,53.40
-3526.30,52.50
3304.10,52.30
9077.90,53.00
11895.40,54.20
10803.60,55.50
6131.40,56.40
-595.90,56.50
-7141.40,55.70
-11297.40,54.60
-11634.90,53.60
-8006.50,52.50
-1622.70,51.70
5337.70,51.60
10464.10,52.40
11952.80,53.60
9249.90,54.80
