I0,I1
-1573.30,-4.00
963.20,-4.40
3333.30,-4.80
5106.80,-5.20
5955.20,-5.40
5715.10,-5.60
4421.30,-5.70
2304.20,-5.30
-248.50,-4.50
-2761.80,-3.80
-4760.80,-3.00
-5862.10,-2.40
-5847.40,-2.20
-4709.60,-2.30
-2659.10,-2.60
-86.00,-2.60
2511.20,-3.20
4621.80,-3.80
5824.20,-4.60
5871.30,-5.20
4743.60,-5.60
2657.80,-5.80
27.90,-5.30
-2614.70,-4.60
-4729.20,-3.90
-5874.90,-3.30
-5805.80,-2.90
-4525.80,-2.80
-2292.80,-2.90
430.20,-3.30
3069.50,-4.00
5060.60,-4.70
5970.60,-5.40
5593.20,-5.90
3999.30,-6.20
1527.00,-6.10
-1288.10,-5.50
-3826.10,-4.80
-5519.90,-4.00
-5983.10,-3.40
-5100.70,-3.20
-3061.00,-3.20
-318.30,-3.50
2504.60,-3.90
4758.30,-4.60
5915.20,-5.30
5695.90,-5.90
4139.90,-6.20
1603.20,-6.20
-1321.30,-6.10
-3938.30,-5.60
-5616.80,-4.90
-5943.30,-4.40
-4826.70,-4.20
-2527.40,-4.20
399.60,-4.50
3235.50,-5.00
5274.70,-5.70
5999.70,-6.40
5216.80,-6.90
3111.40,-7.10
207.70,-6.90
-2757.10,-6.20
-5019.60,-5.50
-5987.50,-4.80
-5397.30,-4.40
-3390.40,-4.40
-483.70,-4.60
2558.90,-5.10
4927.20,-5.80
5979.50,-6.40
5420.10,-6.80
3387.20,-7.00
423.80,-6.80
-2664.30,-6.20
-5024.40,-5.50
-5994.10,-4.90
-5290.40,-4.50
-3096.60,-4.50
-20.90,-4.60
3069.20,-4.80
5288.80,-5.20
5991.90,-5.60
4961.50,-5.90
2483.00,-6.00
-729.50,-5.70
-3735.90,-4.90
-5642.90,-4.20
-5872.20,-3.70
-4341.00,-3.50
-1495.90,-3.60
1810.70,-3.80
4573.50,-3.90
5939.50,-4.10
5475.00,-4.40
3308.60,-4.70
102.70,-4.60
-3144.10,-4.60
-5405.60,-4.00
-5954.50,-3.20
-4600.60,-2.70
-1763.10,-2.50
1652.10,-2.70
4539.00,-3.20
5947.70,-3.80
5401.80,-4.60
3065.70,-5.20
-297.90,-5.50
-3570.70,-5.20
-5648.70,-4.50
-5817.50,-3.90
-4003.30,-3.60
-811.40,-3.60
2668.80,-3.80
5232.00,-4.10
5976.40,-4.50
4624.90,-5.10
1637.00,-5.50
-1940.00,-5.70
-4833.40,-5.10
-5998.10,-4.40
-4998.50,-3.90
-2179.50,-3.60
1443.20,-3.70
4545.10,-4.00
5974.20,-4.40
5184.60,-5.00
2453.50,-5.50
-1208.20,-5.70
-4422.10,-5.20
37.70,-4.50
226.50,-3.90
415.70,-3.50
605.10,-3.60
794.30,-3.70
983.40,-3.70
1172.00,-3.80
1360.00,-3.80
1547.10,-3.60
1733.20,-3.50
1918.10,-3.50
2101.40,-3.60
2283.20,-3.60
2463.00,-3.40
2640.70,-3.20
2816.10,-2.90
2989.00,-2.80
3159.20,-2.60
3326.40,-2.40
3490.50,-2.10
3651.10,-1.80
3808.20,-1.40
3961.50,-1.00
4110.70,-0.60
4255.80,-0.20
4396.40,0.40
4532.40,0.90
4663.50,1.50
4789.70,2.00
4910.50,2.60
5026.00,3.20
5135.90,3.80
5240.00,4.40
5338.10,5.10
5430.00,5.80
5515.70,6.50
5594.90,7.20
5667.40,8.00
5733.20,8.80
5792.00,9.60
5843.80,10.40
5888.40,11.20
5925.60,12.10
5955.50,12.90
5977.80,13.60
5992.50,14.30
5999.40,15.10
5998.50,15.90
5989.80,16.80
5973.20,16.80
5948.60,17.80
5915.90,18.70
5875.20,19.60
5826.50,20.50
5769.70,21.40
5704.80,22.30
5631.90,23.30
5551.00,24.20
5462.10,25.20
5365.20,26.10
5260.60,27.00
5148.10,27.90
5028.00,28.80
4900.30,29.70
4765.20,30.50
4622.70,31.30
4473.10,32.10
4316.40,32.90
4152.90,33.60
3982.70,34.40
3806.00,35.10
3623.10,35.70
3434.10,36.40
3239.40,37.00
3039.10,37.70
2833.50,38.30
2622.90,38.80
2407.60,39.30
2187.90,39.70
1964.00,40.10
1736.40,40.40
1505.30,40.70
1271.10,40.90
1034.10,41.10
794.70,41.20
553.30,41.30
310.30,41.30
66.00,41.30
-179.10,41.20
-424.60,41.00
-670.20,40.90
-915.30,40.80
-1159.60,40.50
-1402.70,40.30
-1644.10,40.20
-1883.30,40.00
-2120.00,39.90
-2353.70,39.70
-2583.90,39.50
-2810.10,39.20
-3032.10,39.00
-3249.20,38.70
-3461.10,38.30
-3667.30,37.90
-3867.40,37.30
-4061.00,36.70
-4247.60,36.10
-4426.80,35.40
-4598.30,34.70
-4761.60,33.90
-4916.30,33.10
-5062.10,32.20
-5198.60,31.20
-5325.40,30.30
-5442.30,29.30
-5548.80,28.30
-5644.70,27.30
-5729.70,26.20
-5803.60,25.10
-5866.00,24.00
-5916.70,22.80
-5955.60,21.70
-5982.50,20.50
-5997.10,19.20
-5999.40,17.90
-5989.20,16.60
-5966.40,15.30
-5931.00,13.90
-5883.00,12.60
-5822.30,11.40
-5748.90,10.20
-5662.90,10.20
-5564.30,9.10
-5453.30,8.10
-5330.10,7.10
-5194.60,5.90
-5047.30,4.70
-4888.20,3.50
-4717.60,2.20
-4535.90,0.90
-4343.30,-0.40
-4140.10,-1.60
-3926.90,-2.50
-3703.80,-3.40
-3471.50,-4.20
-3230.40,-4.90
-2980.90,-5.60
-2723.60,-6.30
-2459.00,-7.10
-2187.70,-7.80
-1910.30,-8.30
-1627.50,-8.80
-1339.80,-9.30
-1048.00,-9.80
-752.60,-10.20
-454.60,-10.50
-154.50,-10.80
146.90,-11.00
448.80,-11.20
750.50,-11.30
1051.20,-11.30
1350.00,-11.30
1646.30,-11.20
1939.10,-11.00
2227.70,-10.80
2511.30,-10.70
2789.00,-10.50
3060.20,-10.20
3323.90,-9.90
3579.40,-9.50
3825.90,-9.00
4062.70,-8.50
4289.00,-8.00
4504.10,-7.40
4707.20,-6.80
4897.80,-6.10
5075.10,-5.30
5238.50,-4.40
5387.40,-3.60
5521.30,-2.80
5639.70,-1.90
5741.90,-1.10
5827.70,-0.10
5896.60,0.70
5948.20,1.50
5982.30,2.20
5998.50,3.00
5996.70,3.80
5976.70,4.70
5938.40,5.60
5881.80,6.60
5806.80,7.60
5713.60,8.50
5602.20,9.40
5472.80,10.30
5325.80,11.30
5161.40,12.20
4979.90,13.10
4781.90,13.90
4567.80,14.80
4338.10,15.60
4093.60,16.40
3834.80,17.10
3562.50,17.90
3277.50,18.60
2980.60,19.20
2672.80,19.80
2354.90,20.40
2028.10,20.90
1693.30,21.30
1351.60,21.70
1004.20,22.00
652.20,22.20
296.90,22.20
-60.50,22.30
-418.80,22.40
-776.60,22.40
-1132.70,22.40
-1485.80,22.20
-1834.50,22.10
-2177.50,22.00
-2513.50,21.90
-2841.20,21.70
-3159.20,21.60
-3466.20,21.50
-3761.10,21.30
-4042.50,20.90
-4309.30,20.30
-4560.20,19.60
-4794.30,18.90
-5010.30,18.20
-5207.30,17.40
-5384.30,16.50
-5540.50,15.60
-5675.00,14.50
-5787.10,13.40
-5876.20,12.30
-5941.60,11.20
-5982.80,10.10
-5999.60,9.00
-5991.60,7.80
-5958.60,6.60
-5900.50,5.30
-5817.30,4.00
-5709.20,2.80
-5576.40,1.50
-5419.30,0.20
-5238.30,-1.20
-5034.00,-2.50
-4807.10,-3.50
-4558.40,-4.50
-4288.70,-5.50
-3999.20,-6.40
-3690.80,-7.30
-3365.00,-8.20
-3022.90,-9.10
-2666.00,-10.00
-2295.80,-10.60
-1913.90,-11.30
-1522.00,-12.00
-1121.80,-12.50
-715.10,-13.10
-303.80,-13.60
110.10,-13.90
524.80,-14.10
938.10,-14.20
1348.20,-14.20
1752.90,-14.10
2150.30,-14.00
2538.20,-13.90
2914.80,-13.70
3277.90,-13.50
3625.70,-13.20
3956.20,-12.90
4267.60,-12.50
4558.10,-12.00
4826.10,-11.50
5070.00,-10.90
5288.20,-10.10
5479.40,-9.30
5642.30,-8.40
5775.90,-7.40
5879.00,-6.60
5951.00,-5.80
5991.10,-5.00
5998.90,-4.00
5973.90,-3.00
5916.10,-1.90
5825.40,-0.70
5702.10,0.20
5546.60,1.20
5359.40,2.20
5141.40,3.10
4893.40,4.00
4616.70,5.00
4312.60,5.00
3982.60,5.90
3628.40,6.70
3251.90,7.50
2855.10,8.20
2440.10,8.90
2009.30,9.50
1565.20,10.10
1110.30,10.60
647.30,10.90
178.90,11.20
-291.90,11.50
-762.40,11.60
-1229.50,11.70
-1690.40,11.70
-2141.90,11.60
-2581.30,11.40
-3005.50,11.30
-3411.70,11.10
-3797.10,11.00
-4159.00,10.90
-4494.80,10.60
-4802.10,10.00
-5078.60,9.30
-5322.20,8.50
-5530.90,7.70
-5703.00,6.80
-5837.00,5.90
-5931.70,4.90
-5986.10,3.80
-5999.30,2.70
-5971.00,1.50
-5901.00,0.40
-5789.40,-0.50
-5636.50,-1.30
-5443.20,-2.20
-5210.40,-3.20
-4939.50,-4.20
-4632.10,-5.30
-4290.00,-6.30
-3915.60,-7.30
-3511.20,-8.20
-3079.60,-9.10
-2623.80,-10.00
-2146.90,-10.90
-1652.40,-11.60
-1144.00,-12.30
-625.20,-13.00
-100.10,-13.40
427.30,-13.70
953.00,-13.90
1472.80,-14.10
1982.60,-14.10
2478.20,-14.10
2955.60,-13.90
3410.80,-13.70
3839.90,-13.40
4239.10,-13.00
4605.00,-12.60
4934.30,-12.10
5223.80,-11.50
5470.90,-10.80
5673.00,-10.00
5828.10,-9.10
5934.50,-8.10
5990.70,-7.10
5995.90,-6.10
5949.50,-5.10
5851.60,-4.00
5702.40,-2.90
5502.80,-1.80
5254.20,-0.70
4958.20,0.40
4617.20,1.30
4233.70,2.30
3810.90,3.10
3352.30,3.90
2861.70,4.70
2343.30,5.40
1801.70,6.10
1241.70,6.60
668.50,7.10
87.20,7.10
-496.60,7.50
-1077.40,7.70
-1649.70,7.80
-2207.80,7.80
-2746.10,7.70
-3259.20,7.50
-3742.00,7.30
-4189.20,7.00
